SSID;BSSID
2018-02-04 16:51:54.923041;NUMERICABLE-A288;c0:d9:62:31:f7:89;
2018-02-04 16:51:54.923041;Livebox-DAE4;b8:26:6c:43:da:e4;
2018-02-04 16:51:54.923041;Bbox-109AD9;00:1f:9f:bd:e3:5d;
2018-02-04 16:51:54.923041;SFR-2017;44:e9:dd:ed:d8:3e;
2018-02-04 16:51:54.923041;FreeWifi_secure;f4:ca:e5:d2:f2:0e;
2018-02-04 16:51:54.923041;SFR-a430_EXT;b0:7f:b9:44:3a:aa;
2018-02-04 16:51:54.923041;Freebox-52F5C0;68:a3:78:ad:9e:50;
2018-02-04 16:51:54.923041;orange;12:7c:b2:14:54:e3;
2018-02-04 16:51:54.923041;Livebox-54E3;30:7c:b2:14:54:e3;
2018-02-04 16:51:54.923041;FreeWifi_secure;68:a3:78:ad:9e:52;
2018-02-04 16:51:54.923041;FreeWifi;68:a3:78:ad:9e:51;
2018-02-04 16:51:54.923041;Bbox-C974D670;f8:ab:05:06:45:a0;
2018-02-04 16:51:54.923041;Livebox-rollin's;2c:39:96:49:d3:c6;
2018-02-04 16:51:54.923041;SFR-5b10;a4:08:f5:c9:5b:16;
2018-02-04 16:51:54.923041;Bbox-F92A10;00:1f:9f:bf:09:69;
2018-02-04 16:51:54.923041;SFR-5b10_5GHz;a4:08:f5:c9:5b:17;
2018-02-04 16:51:54.923041;Bbox-C974D670-5GHz;00:26:86:1e:38:5e;
2018-02-04 16:52:08.603282;Bbox-41AA8A4E-5GHz;64:7c:34:d0:e4:d0;
2018-02-04 16:52:08.603282;SFR-a430;40:65:a3:02:a4:36;
2018-02-04 16:52:08.603282;SFR_4630;30:7e:cb:40:46:34;
2018-02-04 16:52:08.603282;Bbox-7887CADF;e8:be:81:aa:9f:10;
2018-02-04 16:52:08.603282;FreeWifi;f4:ca:e5:d2:f2:0d;
2018-02-04 16:52:08.603282;freebox_HUGUTI_2GEXT;b0:b9:8a:4d:bd:c5;
2018-02-04 16:52:08.603282;FreeWifi_secure;00:24:d4:95:61:d1;
2018-02-04 16:52:08.603282;Livebox-67B0;b8:26:6c:f0:67:b0;
2018-02-04 16:52:08.603282;orange;d6:ae:ec:4b:87:02;
2018-02-04 16:52:08.603282;FreeWifi;92:25:72:72:89:f9;
2018-02-04 16:52:08.603282;FreeWifi_secure;68:a3:78:ad:9e:52;
2018-02-04 16:52:08.603282;Freebox-52F5C0;68:a3:78:ad:9e:50;
2018-02-04 16:52:08.603282;FreeWifi_secure;f4:ca:e5:d2:f2:0e;
2018-02-04 16:52:08.603282;SFR-2017;44:e9:dd:ed:d8:3e;
2018-02-04 16:52:08.603282;Livebox-DAE4;b8:26:6c:43:da:e4;
2018-02-04 16:52:08.603282;NUMERICABLE-A288;c0:d9:62:31:f7:89;
2018-02-04 16:52:08.603282;FreeWifi;68:a3:78:63:40:a5;
2018-02-04 16:52:08.603282;freebox_HUGUTI;92:25:72:72:89:f8;
2018-02-04 16:52:08.603282;SFR-31d0;f4:6b:ef:65:31:d6;
2018-02-04 16:52:08.603282;Bbox-109AD9;00:1f:9f:bd:e3:5d;
2018-02-04 16:52:08.603282;freeRaf;68:a3:78:63:40:a4;
2018-02-04 16:52:08.603282;FreeWifi;68:a3:78:ad:9e:51;
2018-02-04 16:52:08.603282;SFR-a430_EXT;b0:7f:b9:44:3a:aa;
2018-02-04 16:52:08.603282;orange;12:7c:b2:14:54:e3;
2018-02-04 16:52:08.603282;Livebox-54E3;30:7c:b2:14:54:e3;
2018-02-04 16:52:08.603282;Livebox-acb4;d0:ae:ec:4b:87:02;
2018-02-04 16:52:08.603282;Bbox-C974D670;f8:ab:05:06:45:a0;
2018-02-04 16:52:08.603282;Bbox-41AA8A4E;64:7c:34:d0:e4:cc;
2018-02-04 16:52:08.603282;Livebox-rollin's;2c:39:96:49:d3:c6;
2018-02-04 16:52:08.603282;SFR-5b10;a4:08:f5:c9:5b:16;
2018-02-04 16:52:08.603282;Bbox-F92A10;00:1f:9f:bf:09:69;
2018-02-04 16:52:08.603282;Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c;
2018-02-04 16:52:08.603282;SFR-5b10_5GHz;a4:08:f5:c9:5b:17;
2018-02-04 16:52:08.603282;Bbox-C974D670-5GHz;00:26:86:1e:38:5e;
2018-02-04 16:52:27.592375;Bbox-7887CADF;e8:be:81:aa:9f:10;
2018-02-04 16:52:27.592375;FreeWifi;f4:ca:e5:d2:f2:0d;
2018-02-04 16:52:27.592375;freebox_HUGUTI_2GEXT;b0:b9:8a:4d:bd:c5;
2018-02-04 16:52:27.592375;FreeWifi_secure;00:24:d4:95:61:d1;
2018-02-04 16:52:27.592375;Livebox-67B0;b8:26:6c:f0:67:b0;
2018-02-04 16:52:27.592375;orange;d6:ae:ec:4b:87:02;
2018-02-04 16:52:27.592375;FreeWifi;92:25:72:72:89:f9;
2018-02-04 16:52:27.592375;FreeWifi_secure;68:a3:78:ad:9e:52;
2018-02-04 16:52:27.592375;Freebox-52F5C0;68:a3:78:ad:9e:50;
2018-02-04 16:52:27.592375;FreeWifi_secure;f4:ca:e5:d2:f2:0e;
2018-02-04 16:52:27.592375;NUMERICABLE-A288;c0:d9:62:31:f7:89;
2018-02-04 16:52:27.592375;FreeWifi;68:a3:78:63:40:a5;
2018-02-04 16:52:27.592375;Bbox-41AA8A4E;64:7c:34:d0:e4:cc;
2018-02-04 16:52:27.592375;Livebox-acb4;d0:ae:ec:4b:87:02;
2018-02-04 16:52:27.592375;Livebox-54E3;30:7c:b2:14:54:e3;
2018-02-04 16:52:27.592375;SFR-a430_EXT;b0:7f:b9:44:3a:aa;
2018-02-04 16:52:27.592375;FreeWifi;68:a3:78:ad:9e:51;
2018-02-04 16:52:27.592375;freeRaf;68:a3:78:63:40:a4;
2018-02-04 16:52:27.592375;freebox_HUGUTI;92:25:72:72:89:f8;
2018-02-04 16:52:27.592375;Livebox-933A;00:37:b7:95:93:3b;
2018-02-04 16:52:27.592375;Livebox-DAE4;b8:26:6c:43:da:e4;
2018-02-04 16:52:27.592375;SFR-31d0;f4:6b:ef:65:31:d6;
2018-02-04 16:52:27.592375;Bbox-109AD9;00:1f:9f:bd:e3:5d;
2018-02-04 16:52:27.592375;SFR-2017;44:e9:dd:ed:d8:3e;
2018-02-04 16:52:27.592375;orange;12:7c:b2:14:54:e3;
2018-02-04 16:52:27.592375;Bear&Farmer;6c:38:a1:23:b7:48;
2018-02-04 16:52:27.592375;Numericable-1a68;54:64:d9:50:1a:6e;
2018-02-04 16:52:27.592375;Bbox-C974D670;f8:ab:05:06:45:a0;
2018-02-04 16:52:27.592375;Livebox-rollin's;2c:39:96:49:d3:c6;
2018-02-04 16:52:27.592375;SFR-5b10;a4:08:f5:c9:5b:16;
2018-02-04 16:52:27.592375;Bbox-F92A10;00:1f:9f:bf:09:69;
2018-02-04 16:52:27.592375;SFR-de08;08:3e:5d:f9:de:0e;
2018-02-04 16:52:27.592375;Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c;
2018-02-04 16:52:27.592375;Bbox-41AA8A4E-5GHz;64:7c:34:d0:e4:d0;
2018-02-04 16:52:27.592375;SFR-5b10_5GHz;a4:08:f5:c9:5b:17;
2018-02-04 16:52:27.592375;Bbox-C974D670-5GHz;00:26:86:1e:38:5e;
